"KEGG.id","Entry.type","KEGG.name","p.score"
"C15501","compound","3-Epihydroxymugineic acid",0.048486102062975
"C15974","compound","3-Methyl-1-hydroxybutyl-ThPP",0.034287386898299
"C15975","compound","[Dihydrolipoyllysine-residue (2-methylpropano...",0.0107895132102787
"C15978","compound","2-Methyl-1-hydroxybutyl-ThPP",0.0154890879478827
"C15979","compound","[Dihydrolipoyllysine-residue (2-methylpropano...",0.0113894589214622
"C15980","compound","(S)-2-Methylbutanoyl-CoA",0.0295878121606949
"C16153","compound","UDP-L-Ara4N",0.0192887441187115
"C16155","compound","UDP-L-Ara4O",0.015189115092291
"C16432","compound","5-Hydroxyectoine",0.0440865001809628
"C16625","compound","Isoniazid alpha-ketoglutaric acid",0.037787070213536
"C17255","compound","3-Methylbutyraldehyde oxime",0.00818974846181686
"C18029","compound","dTDP-3-oxo-2,6-dideoxy-D-glucose",0.0460863192182411
"C18032","compound","dTDP-4-oxo-2,3,6-trideoxy-D-glucose",0.0218885088671734
"C19151","compound","Coenzyme F420-3",0.0336874411871154
"C19491","compound","(E)-2-Methylbutanal oxime",0.0248882374230909
"C19609","compound","Nickel(2+)",0.00808975750995296
"C19823","compound","UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-he...",0.0178888707926168
"C19888","compound","LysW-gamma-L-alpha-aminoadipate 6-semialdehyd...",0.0219884998190373
"C19889","compound","LysW-gamma-L-lysine",0.0340874049945711
"C19960","compound","dTDP-3-dehydro-6-deoxy-alpha-D-galactopyranos...",0.0164889974665219
"C19961","compound","UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altro...",0.0225884455302207
"C20359","compound","UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-g...",0.0227884274339487
"C20395","compound","UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-ul...",0.0160890336590662
"C20612","compound","GDP-4-dehydro-3,6-dideoxy-alpha-D-mannose",0.0312876583423815
"C20638","compound","GDP-4-amino-4,6-dideoxy-alpha-D-mannose",0.0348873326094825
"C20668","compound","3-Dehydro-D-glucose 6-phosphate",0.0138892327180601
"C20775","compound","beta-Citryl-L-glutamate",0.0351873054650742
"C20776","compound","N-Acetylaspartylglutamylglutamate",0.0384870068765834
"C20827","compound","3-Hydroxyisovalerate",0.0142891965255157
"C20963","compound","Dapdiamide B",0.000990399927614923
"C20964","compound","Dapdiamide C",0.000990399927614923
"C20966","compound","3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-al...",0.000390454216431382
"C21559","compound","N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate",0.0277879750271444
"C22053","compound","UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glut...",0.0348873326094825
"C22138","compound","L-Propargylglycine",0.0264880926529135
"C22139","compound","gamma-L-Glutamyl-L-propargylglycine",0.0120893955845096
"C22140","compound","L-gamma-Glutamyl-(3R)-L-beta-ethynylserine",0.0123893684401013
"C22141","compound","L-beta-Ethynylserine",0.0235883550488599
"C22261","compound","UDP-2-acetamido-2,6-dideoxy-alpha-D-galactose",0.0319875950054289
"C22276","compound","UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-idosa...",0.0231883912414043
