"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"DEOXYGUANOSINE",-0.21003067538716,-0.23528829607279,-0.0350736981405124,0.102013697928758,-0.209970670460841,-0.0557105007524936,-0.249568406312579,0.00272212778868768,-0.0776431488654682,0.21949322675423,-0.227930331625764,0.108780729629416,0.196578950899185,0.0701328028005073,-0.0134768747526578,-0.223548001646027
"GAMMA-AMINOBUTYRATE",0.0358963992052473,-0.0404452193956004,0.0601771763302723,-0.00679713084025067,-0.182039329507146,0.0768426332896888,0.0549991358031599,-0.0639280330981593,-0.315490543672849,-0.045843096055456,-0.193013347818141,0.351228728025222,0.0364903631991126,-0.027373745283137,0.214011932411594,0.000789444967558317
"GLUTAMATE",0.0487082040410922,-0.0370423196065311,-0.00459478130672407,0.0125103038667374,0.0257026282711779,-0.0223671277231374,-0.00484197999803629,-0.0908042209546908,0.0813235346405795,0.0045649676478889,-0.0257099105342524,0.122770031900885,0.0216182158526932,0.00883074088517824,0.0601200126946951,0.00985342290240807
"GLUTAMINE",-0.0227293720904203,0.0516443355267242,-0.0306821602000813,0.0465766649724869,0.0220717729509362,0.0893613175224574,-0.221220705394513,0.0584683022655934,-0.0185176943596581,0.0969462103987837,0.0479909166777823,-0.136693815384524,-0.0719119383946598,-0.138152291446228,-0.0258868437771727,-0.0855305107914759
"GLUTARYLCARNITINE",-0.032431003511113,-0.043114043281756,-0.298248089671978,-0.167044019091048,0.133509696579037,0.109328802981292,-0.0321727234966319,0.148915431457438,0.159641646442503,0.0814949561964453,0.0332830841149318,0.0873571981482788,-0.17096762493431,0.19326515153053,-0.0990692486160172,0.0822735207860287
"GLUTATHIONE REDUCED",0.0223663345317315,0.0987052423272957,0.145207666659229,0.0541666307279589,-0.0127867502171646,-0.0389295201898633,-0.0549007191189977,-0.069337812923497,0.0452806578036467,-0.0400022264134524,-0.0496033725503907,-0.079055989838418,0.0217799773971818,-0.0166429264616063,-0.151591366768843,-0.0269658515483703
"GUANINE",-0.122505695394327,-0.087790264950074,0.037907344806593,-0.115027844202907,0.0027534120996671,0.0094853563114596,0.0588432282509072,-0.0670876133680383,0.0272609837099529,0.0245627687885971,-0.0360195422329468,-0.104140054121252,-0.0856131550907697,0.0151797625897968,-0.00630611662337717,0.0369069857246447
"GUANOSINE",-0.12132562997295,0.0310818020673892,0.0309387410985323,-0.17420658206426,0.0431337172948345,-0.0486121683832684,-0.0269697403643459,0.0262141301172198,0.0397695961755046,0.0806175003777401,-0.0336369740376408,0.0169072174035611,-0.090914170195749,-0.0457405399812546,0.0436847025551017,0.105047471276915
"HIPPURATE",0.124466883620909,0.213203631781242,0.00757211243638839,-0.0171952914722671,-0.0251202737956942,-0.00687992054514607,0.0656765139489392,0.0884933008771051,-0.0141616563422834,-0.0578332246108261,-0.0465779980885916,0.0612562483285428,-0.074459456748735,-0.0492227936787315,0.223365407235087,0.0118625718070623
"HISTAMINE",0.100529497383125,0.0169261529963577,-0.201873254462765,-0.0800024107893121,-0.0790652350391179,0.0890523263100528,0.0334428503779798,-0.117179464137088,0.0413191439582432,-0.04020524853517,0.0180740551344843,-0.0329475448669093,-0.063804254510506,0.117653760910604,0.29785521871013,-0.047485981495581
"HISTIDINE",0.0578184400748601,0.0640419065710262,-0.127188960027027,-0.0952885787707947,-0.173970719809039,0.0595476347861237,-0.0501236883815956,-0.373341276522934,0.073532632662421,0.094319717702199,0.0778726915783218,-0.0147544722219544,0.158456081086359,-0.0691194504629784,-0.0557066991416032,0.0748533665910535
"HISTIDINOL",0.0182228397360641,0.072767029478857,-0.0935774402998111,-0.0873198714876082,-0.0514361942243114,0.102732522401698,0.0105912461766205,-0.232028554507207,0.181663380549593,0.0273091710107196,0.0579543636425717,-0.0844199998510621,-0.0450268050921144,-0.0015838282594714,0.193387417321033,-0.00990888874549834
"HYPOXANTHINE",0.302531249624009,-0.0625323448050252,-0.0479560458611154,0.366119408130729,0.0209811323244369,0.0298197948885781,-0.178604052731563,-0.00339636274449452,0.209157405208809,-0.135671048243609,0.00931042372799163,0.124587442532529,0.00910818141818477,0.0702929027063542,0.0576377817025314,0.0809761941236189
"INDOLE-3-ACETATE",0.0240896479280167,0.159235002491936,-0.275229771638075,-0.0305993423210407,-0.0483129329158105,-0.012081529216955,0.0856391662727963,-0.0968224157219566,0.10155224386966,0.0360605511560599,0.0920407314138487,0.0932640039305866,-0.300658449288174,-0.0195918021116193,-0.0501258294267736,-0.0523420339303278
"INDOLE-3-METHYL ACETATE",-0.14417601811043,0.0575161692700762,-0.149199193373855,0.136566311792411,0.0515450340027196,-0.298250707814808,0.00516365639778172,-0.0247699214235487,-0.218338308402846,-0.0869160807264975,0.0700047903679223,0.14903216999648,0.020457652395116,0.183815237906898,-0.0483461306998303,0.156210282165416
"INDOLEACETALDEHYDE",-0.047015492707766,-0.0967909698419998,-0.205879520085888,-0.112076552723081,-0.0158340098212922,-0.237783703188447,0.150677198376466,0.16964782782481,-0.0192231044297288,0.0191914313052501,-0.228400021379819,0.0604624998465864,-0.0734604875747165,0.0641309575934691,0.0852329341064103,0.137179663686424
"INOSINE",0.00101058327194909,0.0311964688792369,0.0704388347659326,-0.269623130498639,0.0434108765876162,0.0945912780309864,-0.0645201921048632,0.113560044444085,-0.067209057739575,0.10182657344685,-0.0383153733874248,-0.116852721890722,0.0225091786953477,-0.0411249075502953,0.0434371419975108,0.022778288037041
"ISOLEUCINE",-0.104018210211626,-0.0170235409184842,0.0342605397833096,-0.00735520124678541,-0.010997312285346,0.0377546582473736,-0.0522844076724739,0.0153382775823226,-0.0337456090635298,-0.132500626542921,-0.08807505588744,-0.0558680477789269,0.0846713670484051,-0.0570690007737125,0.0450063194092927,-0.0606409324294619
"KYNURENATE",-0.395152215817877,0.137486385788734,-0.0285859658760021,0.19630533998713,0.339418800443332,0.236578939271165,-0.0525794552929744,-0.000236508570481769,-0.0378533091712838,-0.204651224260853,0.0593812478611917,-0.0974942338206088,0.238126273760571,0.0424920122995303,-0.0294565212271516,0.00731246706456637
"KYNURENINE",-0.342673233690577,-0.124613628559264,-0.128415306440935,0.176456339229787,-0.148956012089001,0.00824236822336446,0.176024485689282,0.14705558035749,0.171785726103233,0.0737517538214054,-0.0510300753969976,-0.0615474448387494,-0.162205527091949,-0.0749905450583346,0.0325825842069399,-0.0958325360254869
"L-CARNITINE",0.109569703780911,-0.069960948354785,-0.0443000058725464,0.0389838721189909,-0.0135030709099199,-0.088900473915883,0.0251402676367564,-0.145087600067883,0.0290013311793293,0.0254107977895814,0.00564306819887082,0.0421230073983194,0.130680039118835,-0.1127523461986,-0.033703168602559,-0.0384715451995673
"L-DOPA",0.0304338482338759,-0.0578713864356618,-0.0542934713041155,-0.0396758980108706,0.400172558075418,-0.101315958957185,-0.0495357186155844,-0.046422486855928,0.163527356189879,-0.189963903284792,0.109956300650594,0.212990431742769,0.137777024093697,-0.312340001566391,0.160538749101062,-0.0797802665934184
"LAUROYLCARNITINE",-0.040576261331234,0.122734198464053,-0.139149723675636,-0.0422832570978942,0.215527330094304,0.102037202158506,0.0935077670652898,-0.245664652875026,0.0983940164523534,0.212591465380793,-0.558779778096407,-0.0589092540487815,0.0618427506382595,0.166357247141684,-0.0568285668407698,-0.0332159374823595
